run,slug,layer,class,n,frac,shift_mean_abs,shift_median_abs,shift_p95_abs,shift_max_abs,shift_mean_signed,norm_ratio_median,feature_sharing_ratio
rescue,qwen-kto,24,base_only,1,4.88281e-05,0.0404771,0.0404771,0.0404771,0.0404771,-0.0404771,0.648867,0.99917
rescue,qwen-kto,24,shared_aligned,9716,0.474414,0.0455092,0.000631556,0.00575158,27.5649,0.00532142,1.04032,0.99917
rescue,qwen-kto,24,shared_attenuated,5652,0.275977,0.00166761,0.000792119,0.00459215,0.122444,-0.0012873,0.940861,0.99917
rescue,qwen-kto,24,shared_intermediate,2046,0.0999023,0.00150772,0.000829617,0.0026324,0.0916732,0.00064904,1.07378,0.99917
rescue,qwen-kto,24,shared_redirected,3049,0.148877,0.000654003,0,0.00153766,0.0961278,0.000481921,1.01747,0.99917
rescue,qwen-orpo,24,aligned_only,247,0.0120605,2.74695,2.45965,6.31121,10.1985,-2.23806,384.508,0.986273
rescue,qwen-orpo,24,base_only,34,0.00166016,0.161021,0.041114,0.703901,1.23081,-0.0764212,0.563416,0.986273
rescue,qwen-orpo,24,other,9,0.000439453,1.10323,0.883211,2.15671,2.46396,-0.342947,24.1008,0.986273
rescue,qwen-orpo,24,shared_aligned,3008,0.146875,0.0106042,0.00064903,0.00461704,5.1917,-0.00884068,1.10473,0.986273
rescue,qwen-orpo,24,shared_attenuated,8427,0.411475,0.0443241,0.000787594,0.00665748,10.8359,0.0170866,1,0.986273
rescue,qwen-orpo,24,shared_intermediate,7590,0.370605,0.0152135,0.00107812,0.00448188,6.95004,-0.0121927,1.11559,0.986273
rescue,qwen-orpo,24,shared_redirected,1165,0.0568848,0.0927702,0.000592833,0.442443,5.75815,-0.0444928,1.10607,0.986273
